Request_ID,Arrival_Time,Cylinder_No,Burst_Time,Prev_Head,Curr_Head,Request_Type,Queue_Len,Seek_Time
47,50.4,60,2,42,60,Read,4,1.8
48,51.24,67,8,60,67,Read,2,0.7
49,51.58,148,6,67,148,Read,1,8.1
50,52.38,184,6,148,184,Read,4,3.6
51,53.56,60,4,184,60,Write,7,12.4
52,53.92,43,2,60,43,Write,6,1.7
53,55.4,59,3,43,59,Write,8,1.6
54,55.83,136,7,59,136,Read,3,7.7
55,56.04,63,7,136,63,Read,1,7.3
56,57.47,82,2,63,82,Write,6,1.9
57,57.84,175,5,82,175,Read,2,9.3
58,59.41,82,7,175,82,Read,3,9.3
59,61.32,196,4,82,196,Read,3,11.4
60,63.02,1,10,196,1,Write,9,19.5
61,64.76,104,3,1,104,Read,1,10.3
62,65.13,120,3,104,120,Write,1,1.6
63,65.5,57,3,120,57,Read,3,6.3
64,65.97,58,2,57,58,Write,5,0.1
65,67.64,89,2,58,89,Read,4,3.1
66,69.2,115,4,89,115,Read,4,2.6
67,69.77,189,4,115,189,Read,1,7.4
68,69.99,153,6,189,153,Write,9,3.6
69,71.77,12,3,153,12,Read,2,14.1
70,73.02,99,6,12,99,Write,1,8.7
71,73.58,13,1,99,13,Write,4,8.6
72,75.35,83,7,13,83,Write,10,7
73,76.71,62,9,83,62,Read,5,2.1
74,77.79,154,8,62,154,Write,8,9.2
75,78.71,122,7,154,122,Read,7,3.2
76,79.08,178,6,122,178,Write,1,5.6
77,80.24,107,10,178,107,Read,8,7.1
78,80.63,61,4,107,61,Write,5,4.6
79,82.05,110,4,61,110,Write,2,4.9
80,83.93,37,1,110,37,Write,8,7.3
81,85.76,185,1,37,185,Read,6,14.8
82,87.2,43,6,185,43,Write,10,14.2
83,88.83,57,9,43,57,Read,8,1.4
84,90.06,23,6,57,23,Read,6,3.4
85,91.9,147,9,23,147,Read,2,12.4
86,92.42,53,4,147,53,Write,6,9.4
87,93.58,85,7,53,85,Write,1,3.2
88,94.59,35,6,85,35,Write,2,5
89,94.93,91,4,35,91,Write,6,5.6
90,96.8,50,4,91,50,Write,9,4.1
91,97.83,129,7,50,129,Write,2,7.9
92,98.96,12,10,129,12,Read,10,11.7
93,99.93,131,2,12,131,Read,1,11.9
94,101.77,139,7,131,139,Read,8,0.8
95,102.81,74,8,139,74,Write,7,6.5
96,102.91,12,4,74,12,Read,4,6.2
97,104.11,126,10,12,126,Write,5,11.4
98,105.82,70,2,126,70,Write,3,5.6
99,106.15,16,6,70,16,Write,10,5.4
100,108.08,27,10,16,27,Read,9,1.1
101,108.67,139,3,27,139,Read,9,11.2
102,109.19,37,4,139,37,Write,5,10.2
103,109.53,28,10,37,28,Read,9,0.9
104,110.38,171,10,28,171,Write,10,14.3
105,111.05,103,1,171,103,Read,3,6.8
106,111.45,159,2,103,159,Read,1,5.6
107,112.35,12,9,159,12,Read,7,14.7
108,113.05,102,8,12,102,Read,2,9
109,113.17,106,10,102,106,Read,5,0.4
110,113.45,66,3,106,66,Read,6,4
111,115.27,124,2,66,124,Write,2,5.8
112,115.83,1,3,124,1,Read,9,12.3
113,117.68,13,8,1,13,Write,5,1.2
114,119.29,95,5,13,95,Read,1,8.2
115,120.25,98,10,95,98,Write,1,0.3
116,121.15,1,2,98,1,Write,3,9.7
117,122.72,130,10,1,130,Read,9,12.9
118,124.38,52,7,130,52,Write,3,7.8
119,125.31,112,5,52,112,Write,10,6
120,125.78,173,2,112,173,Read,10,6.1
121,127.58,166,10,173,166,Read,1,0.7
122,127.79,70,1,166,70,Read,5,9.6
123,129.08,168,4,70,168,Read,1,9.8
124,129.6,110,5,168,110,Write,5,5.8
125,130.85,185,10,110,185,Read,2,7.5
126,132.36,157,10,185,157,Write,5,2.8
127,133.3,79,10,157,79,Write,9,7.8
128,135.11,90,10,79,90,Read,10,1.1
129,136.27,32,7,90,32,Write,9,5.8
130,136.97,42,7,32,42,Write,2,1
131,138.5,96,7,42,96,Read,2,5.4
132,140.01,82,6,96,82,Read,7,1.4
133,141.96,160,5,82,160,Read,1,7.8
134,143.28,53,6,160,53,Write,10,10.7
135,144.31,82,9,53,82,Write,10,2.9
136,145.21,180,5,82,180,Read,8,9.8
137,146.68,142,8,180,142,Write,2,3.8
138,146.79,18,8,142,18,Read,9,12.4
139,148.54,198,9,18,198,Read,3,18
140,149.26,169,1,198,169,Write,2,2.9
141,149.76,153,8,169,153,Write,1,1.6
142,150.04,164,8,153,164,Write,7,1.1
143,151.61,165,7,164,165,Write,2,0.1
144,152.77,195,4,165,195,Read,8,3
145,153.47,87,1,195,87,Read,7,10.8
146,154.32,47,2,87,47,Write,6,4
147,155.9,158,7,47,158,Write,1,11.1
148,156.87,8,6,158,8,Write,6,15
149,158.04,163,3,8,163,Read,8,15.5
150,160.01,141,1,163,141,Write,9,2.2
151,162,41,6,141,41,Write,9,10
152,163.61,189,9,41,189,Write,10,14.8
153,164.31,15,7,189,15,Write,9,17.4
154,164.94,53,4,15,53,Write,1,3.8
155,166.52,173,9,53,173,Read,8,12
156,167.61,119,7,173,119,Write,9,5.4
157,167.76,24,7,119,24,Read,6,9.5
158,169.47,33,1,24,33,Read,5,0.9
159,171.16,35,7,33,35,Read,1,0.2
160,172.41,185,6,35,185,Write,5,15
161,173.1,19,1,185,19,Write,4,16.6
162,175.1,129,3,19,129,Write,4,11
163,175.33,194,4,129,194,Write,9,6.5
164,175.89,7,7,194,7,Write,7,18.7
165,177.74,128,9,7,128,Write,7,12.1
166,179.36,36,3,128,36,Write,3,9.2
167,180.24,172,3,36,172,Read,9,13.6
168,180.72,110,2,172,110,Write,10,6.2
169,181.24,82,2,110,82,Write,9,2.8
170,182.74,68,4,82,68,Read,5,1.4
171,183.55,39,1,68,39,Read,6,2.9
172,185.11,91,3,39,91,Read,1,5.2
173,187.06,179,10,91,179,Write,7,8.8
174,188.59,149,3,179,149,Write,8,3
175,188.95,196,2,149,196,Read,1,4.7
176,190.09,16,5,196,16,Write,9,18
177,191.19,33,2,16,33,Read,9,1.7
178,191.63,106,3,33,106,Read,4,7.3
179,192.14,198,10,106,198,Write,9,9.2
180,194.08,100,1,198,100,Write,10,9.8
181,194.25,47,3,100,47,Read,2,5.3
182,194.36,15,1,47,15,Write,10,3.2
183,195.38,55,9,15,55,Write,3,4
184,195.68,98,3,55,98,Read,4,4.3
185,196.02,128,5,98,128,Read,10,3
186,196.97,151,9,128,151,Read,4,2.3
187,198.58,69,10,151,69,Read,4,8.2
188,198.93,82,6,69,82,Read,3,1.3
189,199.32,130,3,82,130,Read,6,4.8
190,201.28,128,4,130,128,Read,1,0.2
191,202.99,177,10,128,177,Read,1,4.9
192,204.6,73,9,177,73,Read,4,10.4
193,206.06,86,3,73,86,Write,7,1.3
194,206.42,119,3,86,119,Write,7,3.3
195,207.77,158,9,119,158,Read,5,3.9
196,208.92,76,5,158,76,Write,5,8.2
197,210.01,117,10,76,117,Write,9,4.1
198,211.41,144,6,117,144,Read,8,2.7
199,212.56,78,4,144,78,Write,2,6.6
200,213.94,35,2,78,35,Read,5,4.3
201,215.43,141,3,35,141,Write,9,10.6
202,215.81,61,1,141,61,Read,1,8
203,216.46,54,7,61,54,Read,6,0.7
204,216.99,175,7,54,175,Read,6,12.1
205,217.52,168,5,175,168,Write,5,0.7
206,218.82,47,10,168,47,Read,2,12.1
207,219.72,110,7,47,110,Write,6,6.3
208,221.21,77,2,110,77,Write,9,3.3
209,222.33,66,5,77,66,Read,7,1.1
210,223.85,73,6,66,73,Write,9,0.7
211,225.49,18,8,73,18,Read,3,5.5
212,226.09,32,5,18,32,Read,8,1.4
213,227.61,76,1,32,76,Write,3,4.4
214,227.76,30,5,76,30,Write,8,4.6
215,228.16,100,10,30,100,Read,5,7
216,230.04,154,4,100,154,Write,8,5.4
217,231.9,82,7,154,82,Read,10,7.2
218,232.09,70,9,82,70,Read,6,1.2
219,232.3,41,4,70,41,Read,8,2.9
220,233.35,10,8,41,10,Read,2,3.1
221,234.54,82,3,10,82,Write,5,7.2
222,234.72,152,9,82,152,Read,10,7
223,235.29,87,4,152,87,Read,8,6.5
224,236.4,76,7,87,76,Write,8,1.1
225,237.29,99,10,76,99,Read,1,2.3
226,238.16,112,1,99,112,Write,5,1.3
227,239.38,76,10,112,76,Write,7,3.6
228,240.64,196,3,76,196,Write,5,12
229,241.73,128,5,196,128,Read,7,6.8
230,243.15,134,7,128,134,Read,3,0.6
231,244.12,101,1,134,101,Write,3,3.3
232,244.25,140,8,101,140,Write,10,3.9
233,244.51,149,5,140,149,Write,4,0.9
234,245.29,33,7,149,33,Write,8,11.6
235,246.64,2,7,33,2,Write,9,3.1
236,247.42,132,6,2,132,Read,7,13
237,247.63,57,9,132,57,Write,4,7.5
238,249.62,75,10,57,75,Read,10,1.8
239,250.92,50,3,75,50,Write,2,2.5
240,252.37,10,5,50,10,Write,4,4
241,254.13,106,10,10,106,Read,3,9.6
242,255.36,100,2,106,100,Read,3,0.6
243,256.81,119,8,100,119,Read,7,1.9
244,258.62,181,10,119,181,Read,10,6.2
245,259.08,127,8,181,127,Read,2,5.4
246,260.88,45,4,127,45,Write,3,8.2
247,262.83,134,4,45,134,Read,5,8.9
248,263.88,75,10,134,75,Write,10,5.9
249,264.7,151,9,75,151,Read,7,7.6
250,265.15,2,6,151,2,Read,10,14.9
251,266.06,136,6,2,136,Read,5,13.4
252,267.04,146,4,136,146,Read,9,1
253,268.94,75,6,146,75,Write,1,7.1
254,270.29,125,5,75,125,Read,4,5
255,271.99,128,4,125,128,Read,8,0.3
256,273.85,24,5,128,24,Read,7,10.4
257,274.99,52,4,24,52,Write,7,2.8
258,275.73,175,6,52,175,Read,3,12.3
259,277.68,11,8,175,11,Write,8,16.4
260,278.01,68,1,11,68,Write,2,5.7
261,278.76,178,4,68,178,Read,8,11
262,279.68,198,9,178,198,Write,4,2
263,280.55,170,7,198,170,Write,5,2.8
264,282,8,2,170,8,Write,7,16.2
265,282.11,22,8,8,22,Read,6,1.4
266,283.03,18,2,22,18,Write,3,0.4
267,283.54,174,7,18,174,Read,4,15.6
268,284.34,70,9,174,70,Read,4,10.4
269,285.76,78,1,70,78,Read,5,0.8
270,286.14,158,6,78,158,Write,10,8
271,287.84,173,6,158,173,Read,9,1.5
272,289.62,191,7,173,191,Write,9,1.8
273,291.41,196,10,191,196,Write,1,0.5
274,293.29,48,4,196,48,Write,9,14.8
275,293.4,8,2,48,8,Read,10,4
276,294.09,73,9,8,73,Read,7,6.5
277,295.07,15,1,73,15,Read,3,5.8
278,296.92,158,6,15,158,Write,8,14.3
279,297.94,90,8,158,90,Write,3,6.8
280,298.27,5,9,90,5,Write,3,8.5
281,298.99,18,9,5,18,Write,3,1.3
282,299.58,83,4,18,83,Write,8,6.5
283,301.1,33,4,83,33,Write,5,5
284,303.06,108,8,33,108,Read,10,7.5
285,304.63,21,10,108,21,Write,4,8.7
286,305.96,34,1,21,34,Read,10,1.3
287,306.47,46,3,34,46,Read,6,1.2
288,307.47,174,5,46,174,Read,7,12.8
289,308.77,84,4,174,84,Write,10,9
290,309.3,167,5,84,167,Write,3,8.3
291,310.08,20,6,167,20,Read,4,14.7
292,310.19,194,10,20,194,Write,4,17.4
293,310.87,158,4,194,158,Write,8,3.6
294,311.21,83,4,158,83,Read,9,7.5
295,312.49,36,2,83,36,Read,1,4.7
296,312.96,13,1,36,13,Write,9,2.3
297,313.1,22,2,13,22,Read,10,0.9
298,313.79,152,5,22,152,Write,9,13
299,314.21,40,3,152,40,Read,7,11.2
300,314.63,49,4,40,49,Write,9,0.9
301,316.31,38,1,49,38,Read,4,1.1
302,318.04,34,7,38,34,Write,1,0.4
303,318.42,108,2,34,108,Write,4,7.4
304,319.02,108,10,108,108,Read,7,0
305,319.73,113,7,108,113,Read,4,0.5
306,321.17,94,9,113,94,Read,7,1.9
307,323.16,109,5,94,109,Write,3,1.5
308,323.72,131,6,109,131,Write,1,2.2
309,324.06,26,4,131,26,Read,5,10.5
310,324.33,54,1,26,54,Write,7,2.8
311,325.95,71,4,54,71,Write,4,1.7
312,327.85,171,2,71,171,Write,3,10
313,328.89,86,1,171,86,Read,1,8.5
314,330.87,127,10,86,127,Write,6,4.1
315,332.73,59,8,127,59,Write,10,6.8
316,333.7,148,9,59,148,Write,7,8.9
317,335.58,125,2,148,125,Read,6,2.3
318,336.11,170,10,125,170,Read,1,4.5
319,336.55,121,4,170,121,Read,7,4.9
320,337.41,138,10,121,138,Read,8,1.7
321,339.37,132,7,138,132,Read,4,0.6
322,341.36,36,5,132,36,Read,5,9.6
323,342.78,81,1,36,81,Read,5,4.5
324,343.69,86,6,81,86,Read,3,0.5
325,344.84,80,9,86,80,Read,10,0.6
326,345.32,117,2,80,117,Read,10,3.7
327,346.55,62,5,117,62,Write,8,5.5
328,347.69,61,7,62,61,Write,8,0.1
329,348.01,63,2,61,63,Read,1,0.2
330,348.8,177,7,63,177,Write,2,11.4
331,350.68,31,4,177,31,Write,8,14.6
332,350.82,127,9,31,127,Write,7,9.6
333,351.11,149,7,127,149,Read,5,2.2
334,352.42,29,1,149,29,Read,5,12
335,354.12,57,4,29,57,Write,8,2.8
336,355.68,48,2,57,48,Write,5,0.9
337,356.73,148,6,48,148,Write,8,10
338,357.56,36,5,148,36,Write,5,11.2
339,358.8,36,8,36,36,Read,4,0
340,360.44,183,7,36,183,Write,6,14.7
341,361.11,39,6,183,39,Read,2,14.4
342,363,168,10,39,168,Read,6,12.9
343,364.93,175,1,168,175,Write,4,0.7
344,365.95,188,3,175,188,Write,4,1.3
345,367.8,90,1,188,90,Write,4,9.8
346,369.55,77,9,90,77,Write,6,1.3
347,369.75,138,9,77,138,Read,2,6.1
348,370.44,18,1,138,18,Write,2,12
349,371.72,53,2,18,53,Write,4,3.5
350,373.55,158,8,53,158,Write,1,10.5
351,373.69,125,1,158,125,Read,3,3.3
352,375.68,97,6,125,97,Write,1,2.8
353,376.17,148,1,97,148,Write,2,5.1
354,376.45,123,4,148,123,Write,5,2.5
355,378.07,169,6,123,169,Read,10,4.6
356,378.54,24,4,169,24,Write,1,14.5
357,380.03,81,1,24,81,Write,2,5.7
358,381.8,125,4,81,125,Read,3,4.4
359,383.21,183,3,125,183,Read,10,5.8
360,384.38,129,3,183,129,Write,2,5.4
361,385.17,151,9,129,151,Read,3,2.2
362,385.77,110,6,151,110,Write,8,4.1
363,386.98,24,6,110,24,Read,9,8.6
364,388.31,127,10,24,127,Write,7,10.3
365,388.74,149,5,127,149,Read,6,2.2
366,389.02,15,8,149,15,Write,9,13.4
367,389.59,166,5,15,166,Write,9,15.1
368,390.55,85,6,166,85,Read,2,8.1
369,392.23,152,3,85,152,Read,10,6.7
370,392.81,153,2,152,153,Read,4,0.1
371,394.51,195,9,153,195,Read,7,4.2
372,395,53,2,195,53,Write,6,14.2
373,396.15,161,8,53,161,Read,3,10.8
374,396.96,192,1,161,192,Read,8,3.1
375,398.96,60,2,192,60,Read,6,13.2
376,400.8,14,6,60,14,Write,7,4.6
377,402.28,168,1,14,168,Write,5,15.4
378,402.45,44,2,168,44,Read,9,12.4
379,404.25,123,9,44,123,Write,6,7.9
380,405.71,155,8,123,155,Write,9,3.2
381,406.42,25,7,155,25,Read,6,13
382,408.02,42,10,25,42,Read,4,1.7
383,409.52,115,1,42,115,Write,8,7.3
384,411.45,145,5,115,145,Write,5,3
385,412.95,150,10,145,150,Write,4,0.5
386,413.77,174,3,150,174,Write,5,2.4
387,415.04,55,5,174,55,Write,1,11.9
388,416.47,4,5,55,4,Read,8,5.1
389,418.21,107,1,4,107,Read,7,10.3
390,418.65,175,1,107,175,Write,9,6.8
391,420.22,103,2,175,103,Read,5,7.2
392,421.29,92,7,103,92,Write,8,1.1
393,421.53,100,5,92,100,Write,3,0.8
394,423.29,198,5,100,198,Write,6,9.8
395,424.39,196,7,198,196,Read,5,0.2
396,425.54,109,7,196,109,Write,1,8.7
397,426.83,163,10,109,163,Read,2,5.4
398,427.74,17,6,163,17,Read,6,14.6
399,428.52,97,2,17,97,Write,5,8
400,428.97,141,7,97,141,Read,4,4.4
401,429.35,143,2,141,143,Write,5,0.2
402,430.04,50,10,143,50,Read,5,9.3
403,430.49,106,6,50,106,Write,5,5.6
404,431.66,69,4,106,69,Read,4,3.7
405,433.14,159,3,69,159,Write,7,9
406,434.95,90,5,159,90,Write,3,6.9
407,436.06,105,8,90,105,Write,9,1.5
408,437.65,137,9,105,137,Write,2,3.2
409,438.61,101,1,137,101,Write,1,3.6
410,440.43,80,5,101,80,Read,5,2.1
411,440.72,65,3,80,65,Read,2,1.5
412,441.97,70,5,65,70,Write,1,0.5
413,442.15,66,2,70,66,Read,10,0.4
414,442.75,67,4,66,67,Write,10,0.1
415,443.63,161,3,67,161,Read,4,9.4
416,444.57,171,7,161,171,Read,1,1
417,446.46,101,2,171,101,Read,4,7
418,447.67,158,8,101,158,Write,10,5.7
419,449.35,126,9,158,126,Read,8,3.2
420,449.97,177,5,126,177,Write,4,5.1
421,450.38,73,1,177,73,Read,10,10.4
422,451.03,94,2,73,94,Read,10,2.1
423,452.44,1,7,94,1,Write,4,9.3
424,453.7,187,6,1,187,Write,6,18.6
425,455.12,128,3,187,128,Read,8,5.9
426,455.95,22,3,128,22,Write,6,10.6
427,457.62,30,3,22,30,Write,3,0.8
428,458.15,189,1,30,189,Write,7,15.9
429,458.8,123,10,189,123,Read,10,6.6
430,459.29,171,10,123,171,Read,8,4.8
431,459.99,168,6,171,168,Write,5,0.3
432,460.44,79,10,168,79,Read,5,8.9
433,462.1,188,1,79,188,Write,1,10.9
434,463.28,189,9,188,189,Read,10,0.1
435,464.04,6,5,189,6,Read,6,18.3
436,465.87,111,4,6,111,Write,5,10.5
437,467.6,189,10,111,189,Write,9,7.8
438,469.28,49,8,189,49,Write,6,14
439,470.32,183,10,49,183,Write,8,13.4
440,471.38,99,9,183,99,Write,10,8.4
441,472.21,137,9,99,137,Write,2,3.8
442,473.82,73,10,137,73,Read,3,6.4
443,474.05,80,3,73,80,Write,5,0.7
444,475.55,44,5,80,44,Write,1,3.6
445,476.17,181,8,44,181,Read,2,13.7
446,476.35,123,3,181,123,Write,7,5.8
447,478.17,32,10,123,32,Read,10,9.1
448,480.03,122,3,32,122,Write,4,9
449,481.1,193,7,122,193,Read,10,7.1
450,483.08,162,10,193,162,Read,7,3.1
451,484.83,177,10,162,177,Read,8,1.5
452,485.65,102,6,177,102,Read,3,7.5
453,485.86,130,8,102,130,Write,7,2.8
454,486.65,26,8,130,26,Read,4,10.4
455,488.09,15,7,26,15,Read,1,1.1
456,489.9,63,6,15,63,Write,9,4.8
457,491.84,128,8,63,128,Read,7,6.5
458,493.14,114,5,128,114,Read,5,1.4
459,494.33,39,5,114,39,Write,9,7.5
460,495.99,139,2,39,139,Read,6,10
461,496.25,162,1,139,162,Write,5,2.3
462,497.11,23,2,162,23,Read,2,13.9
463,498.61,175,9,23,175,Read,7,15.2
464,499.25,161,2,175,161,Write,10,1.4
465,500.82,170,4,161,170,Read,5,0.9
466,501.94,97,5,170,97,Read,8,7.3
467,503.11,60,5,97,60,Read,1,3.7
468,503.33,162,5,60,162,Write,6,10.2
469,505.16,29,5,162,29,Read,10,13.3
470,505.37,146,10,29,146,Read,7,11.7
471,505.72,37,9,146,37,Write,10,10.9
472,507.16,128,3,37,128,Read,2,9.1
473,508.62,23,1,128,23,Write,10,10.5
474,509.29,189,6,23,189,Write,5,16.6
475,511.28,12,10,189,12,Write,3,17.7
476,511.49,27,6,12,27,Write,1,1.5
477,513.11,58,10,27,58,Read,1,3.1
478,514.13,49,3,58,49,Read,7,0.9
479,516.08,195,9,49,195,Write,7,14.6
480,516.27,42,5,195,42,Write,4,15.3
481,517.06,87,2,42,87,Write,8,4.5
482,517.88,184,5,87,184,Write,5,9.7
483,519.72,69,9,184,69,Read,8,11.5
484,521.17,104,2,69,104,Write,2,3.5
485,522.41,146,2,104,146,Write,9,4.2
486,522.52,179,8,146,179,Read,9,3.3
487,523.18,56,4,179,56,Read,8,12.3
488,524.16,80,8,56,80,Write,10,2.4
489,524.31,164,9,80,164,Write,5,8.4
490,526.25,2,6,164,2,Write,4,16.2
491,527.27,135,5,2,135,Read,10,13.3
492,529.15,111,1,135,111,Read,9,2.4
493,530.31,78,10,111,78,Read,10,3.3
494,530.51,137,3,78,137,Read,10,5.9
495,530.73,175,9,137,175,Read,2,3.8
496,532.64,86,2,175,86,Write,10,8.9
497,534.34,147,5,86,147,Read,3,6.1
498,535.77,83,2,147,83,Read,2,6.4
499,537.02,104,8,83,104,Write,7,2.1
500,537.84,145,5,104,145,Write,7,4.1
501,539.08,96,9,145,96,Write,8,4.9
502,540.83,48,2,96,48,Write,5,4.8
503,541.3,117,10,48,117,Write,10,6.9
504,541.49,55,4,117,55,Write,7,6.2
505,541.59,169,3,55,169,Write,10,11.4
506,541.83,143,9,169,143,Read,6,2.6
507,542.9,94,9,143,94,Write,10,4.9
508,543.47,68,4,94,68,Write,4,2.6
509,544.72,77,5,68,77,Read,7,0.9
510,545.27,129,4,77,129,Read,8,5.2
511,546.98,184,5,129,184,Write,10,5.5
512,548.94,53,10,184,53,Write,6,13.1
513,550.4,143,10,53,143,Write,1,9
514,551.22,125,2,143,125,Write,7,1.8
515,552.26,104,1,125,104,Read,10,2.1
516,553.04,136,3,104,136,Read,1,3.2
517,554,24,5,136,24,Read,8,11.2
518,554.17,187,5,24,187,Read,8,16.3
519,554.57,175,7,187,175,Write,5,1.2
520,555.11,114,9,175,114,Write,5,6.1
521,556.43,179,10,114,179,Read,6,6.5
522,557.64,139,8,179,139,Write,5,4
523,559.16,180,9,139,180,Read,10,4.1
524,559.64,72,9,180,72,Read,5,10.8
525,561.26,11,7,72,11,Write,2,6.1
526,563.08,190,8,11,190,Read,10,17.9
527,565.08,67,7,190,67,Read,4,12.3
528,566.5,56,8,67,56,Read,8,1.1
529,566.88,167,8,56,167,Read,7,11.1
530,568.12,75,10,167,75,Read,9,9.2
531,569.45,194,4,75,194,Read,6,11.9
532,570.65,124,5,194,124,Read,1,7
533,571.13,131,4,124,131,Read,6,0.7
534,572.64,64,8,131,64,Read,6,6.7
535,573.95,45,5,64,45,Read,2,1.9
536,574.63,66,4,45,66,Read,10,2.1
537,575.46,125,9,66,125,Read,9,5.9
538,576.32,126,2,125,126,Read,4,0.1
539,577.91,119,4,126,119,Write,2,0.7
540,579.78,151,6,119,151,Write,6,3.2
541,580.17,71,6,151,71,Write,6,8
542,581.22,173,9,71,173,Read,6,10.2
543,582.1,154,3,173,154,Write,3,1.9
544,583.07,11,5,154,11,Write,7,14.3
545,583.22,121,10,11,121,Read,9,11
546,584.62,59,1,121,59,Read,3,6.2
547,584.73,77,2,59,77,Write,1,1.8
548,584.97,102,4,77,102,Read,4,2.5
549,586.16,123,5,102,123,Read,1,2.1
550,586.81,154,5,123,154,Read,9,3.1
551,587.88,10,9,154,10,Read,5,14.4
552,588.43,87,6,10,87,Read,10,7.7
553,589.77,93,9,87,93,Write,5,0.6
554,591.11,157,8,93,157,Read,10,6.4
555,592.1,53,6,157,53,Write,10,10.4
556,594.06,98,1,53,98,Write,7,4.5
557,594.81,1,3,98,1,Write,6,9.7
558,596.37,163,6,1,163,Read,2,16.2
559,598.02,27,8,163,27,Read,9,13.6
560,598.17,25,2,27,25,Write,10,0.2
561,599.89,162,5,25,162,Write,6,13.7
562,601.34,188,2,162,188,Read,6,2.6
563,601.69,29,3,188,29,Read,4,15.9
564,602.85,154,4,29,154,Read,9,12.5
565,604.27,22,3,154,22,Read,2,13.2
566,606.17,18,1,22,18,Read,7,0.4
567,607.05,168,6,18,168,Read,10,15
568,608.48,72,9,168,72,Write,2,9.6
569,610.36,140,8,72,140,Read,8,6.8
570,611.01,150,9,140,150,Write,4,1
571,612.6,195,10,150,195,Write,1,4.5
572,614.14,120,8,195,120,Read,4,7.5
573,614.42,154,2,120,154,Read,3,3.4
574,614.66,39,1,154,39,Write,2,11.5
575,616.57,79,7,39,79,Write,6,4
576,618.29,52,6,79,52,Write,5,2.7
577,619.16,75,6,52,75,Read,6,2.3
578,620.32,3,5,75,3,Read,5,7.2
579,621.33,86,5,3,86,Read,2,8.3
580,621.75,194,4,86,194,Write,6,10.8
581,623.14,38,9,194,38,Write,10,15.6
582,624,178,2,38,178,Read,7,14
583,625.6,168,4,178,168,Write,9,1
584,627.02,126,8,168,126,Write,7,4.2
585,627.96,156,1,126,156,Read,5,3
586,629.38,30,6,156,30,Read,8,12.6
587,629.85,97,6,30,97,Read,5,6.7
588,630.66,86,9,97,86,Write,1,1.1
589,631.82,35,7,86,35,Read,4,5.1
590,631.96,165,8,35,165,Write,6,13
591,633.4,141,4,165,141,Write,5,2.4
592,635.14,52,10,141,52,Read,4,8.9
593,636.64,24,1,52,24,Read,8,2.8
594,637.63,69,2,24,69,Read,3,4.5
595,638.36,38,2,69,38,Write,6,3.1
596,639.76,93,5,38,93,Write,3,5.5
597,640.29,152,3,93,152,Read,1,5.9
598,640.87,85,4,152,85,Write,10,6.7
599,642.58,175,10,85,175,Read,10,9
600,642.9,30,10,175,30,Read,5,14.5
601,643.7,114,8,30,114,Read,1,8.4
602,644.81,71,1,114,71,Read,2,4.3
603,646.54,19,2,71,19,Read,9,5.2
604,647.17,71,8,19,71,Write,9,5.2
605,647.39,86,6,71,86,Read,2,1.5
606,647.56,43,10,86,43,Write,4,4.3
607,647.98,111,7,43,111,Read,6,6.8
608,649.21,192,3,111,192,Read,2,8.1
609,649.43,23,7,192,23,Read,8,16.9
